height,pressure,temp,tdew
m,hPa,K,K
9016.50,321.06,231.79,224.69
9027.60,320.53,231.70,224.42
9038.90,320.00,231.62,224.21
9051.30,319.42,231.53,224.08
9063.90,318.82,231.46,224.09
9075.50,318.28,231.37,224.26
9088.00,317.69,231.28,224.58
9100.30,317.11,231.16,224.92
9111.60,316.58,231.11,225.29
9123.50,316.03,231.04,225.50
9135.50,315.47,230.93,225.29
9147.20,314.92,230.83,224.59
9158.30,314.40,230.70,223.62
9169.60,313.88,230.63,223.00
9182.10,313.30,230.56,223.19
9194.10,312.74,230.48,223.87
9205.90,312.19,230.41,224.46
9217.80,311.64,230.34,224.88
9230.00,311.08,230.31,225.11
9242.80,310.49,230.20,225.11
9255.40,309.91,230.10,225.05
9268.10,309.33,230.01,225.01
9281.30,308.72,229.88,224.94
9293.70,308.15,229.75,224.88
9305.60,307.61,229.63,224.82
9318.30,307.03,229.50,224.75
9330.50,306.47,229.38,224.72
9342.60,305.92,229.27,224.72
9355.60,305.33,229.16,224.71
9367.90,304.77,229.05,224.68
9378.90,304.27,229.04,224.66
9391.20,303.71,229.06,224.63
9405.50,303.06,229.02,224.54
9418.20,302.49,228.93,224.42
9428.80,302.01,228.81,224.30
9440.60,301.48,228.73,224.22
9453.50,300.90,228.66,224.21
9467.50,300.27,228.59,224.24
9482.30,299.61,228.45,224.21
9496.50,298.97,228.27,224.07
9510.90,298.33,228.14,223.92
9524.50,297.72,228.10,223.83
9536.10,297.20,228.07,223.73
9548.00,296.67,227.98,223.59
9561.40,296.08,227.89,223.42
9575.60,295.45,227.76,223.19
9588.80,294.86,227.66,222.99
9601.20,294.31,227.58,222.82
9613.70,293.77,227.51,222.65
9625.50,293.24,227.44,222.54
9636.60,292.76,227.33,222.44
9646.80,292.31,227.21,222.34
9657.90,291.82,227.14,222.30
9670.70,291.26,227.06,222.23
9683.00,290.72,226.99,222.14
9694.00,290.24,226.89,221.93
9705.80,289.72,226.74,221.62
